Spanish,English
como,as
I,I
su,his
que,that
él,he
era,was
para,for
en,on
son,are
con,with
ellos,they
ser,be
en,at
uno,one
tener,have
este,this
desde,from
por,by
caliente,hot
palabra,word
pero,but
qué,what
algunos,some
es,is
lo,it
usted,you
o,or
tenido,had
la,the
de,of
a,to
y,and
un,a
en,in
nos,we
lata,can
fuera,out
otros,other
eran,were
que,which
hacer,do
su,their
tiempo,time
si,if
lo hará,will
cómo,how
dicho,said
un,an
cada,each
decir,tell
hace,does
conjunto,set
tres,three
querer,want
aire,air
así,well
también,also
jugar,play
peque?o,small
fin,end
poner,put
casa,home
leer,read
mano,hand
puerto,port
grande,large
deletrear,spell
a?adir,add
incluso,even
tierra,land
aquí,here
debe,must
grande,big
alto,high
tal,such
siga,follow
acto,act
por qué,why
preguntar,ask
hombres,men
cambio,change
se fue,went
luz,light
tipo,kind
fuera,off
necesitará,need
casa,house
imagen,picture
tratar,try
nosotros,us
de nuevo,again
animal,animal
punto,point
madre,mother
mundo,world
cerca,near
construir,build
auto,self
tierra,earth
padre,father
